host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
14980831,2014-05-01,"Mercer Island, Washington, United States",within an hour,100.0,100.0,True,First Hill,9.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,t
9058822,2013-09-25,"Seattle, Washington, United States",within an hour,100.0,100.0,True,First Hill,8.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,t
3954802,2012-10-23,"Seattle, Washington, United States",within a day,100.0,100.0,True,,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
391714,2011-02-14,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Central Business District,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,t
22860305,2014-10-22,California,within a few hours,100.0,100.0,True,Central Business District,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,t
47394683,2015-10-25,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,,1.0,"['email', 'phone', 'reviews']",True,f
1479707,2011-12-06,"Sydney, New South Wales, Australia",Unknown,,-1.0,True,,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
41935728,2015-08-19,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Central Business District,1.0,"['email', 'phone', 'reviews']",True,f
8243075,2013-08-18,US,within a few hours,100.0,100.0,True,Belltown,4.0,"['email', 'phone', 'reviews', 'jumio']",True,t
3830187,2012-10-10,"Seattle, Washington, United States",Unknown,,-1.0,True,,1.0,"['phone', 'reviews']",True,f
4930653,2013-02-01,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
23165254,2014-10-30,"Seattle, Washington, United States",within a few hours,100.0,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
32099252,2015-04-28,"Port Orchard, Washington, United States",within an hour,100.0,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,t
14891735,2014-04-29,"Seattle, Washington, United States",within a day,56.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews']",True,f
20732434,2014-08-30,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,t
119809,2010-05-07,"Seattle, Washington, United States",a few days or more,40.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'kba']",True,t
5681275,2013-03-29,"Seattle, Washington, United States",a few days or more,33.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'google']",True,f
15785677,2014-05-20,"Seattle, Washington, United States",within a day,100.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",True,f
49380640,2015-11-18,"Seattle, Washington, United States",within a day,50.0,100.0,True,Belltown,1.0,['phone'],True,f
42515980,,,Unknown,,-1.0,True,,,,True,
64955,2009-12-22,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
32842054,2015-05-07,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'reviews']",True,f
29803546,2015-03-22,"Seattle, Washington, United States",within a day,80.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
9435688,2013-10-15,"Las Vegas, Nevada, United States",within a day,50.0,100.0,True,Belltown,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,t
24148567,2014-11-25,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,5.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
19476601,2014-08-04,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,2.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,t
25804261,2015-01-08,"Seattle, Washington, United States",within a few hours,83.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
49259789,2015-11-17,US,within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone']",True,f
8616799,2013-09-03,"Mount Vernon, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,t
44907,2009-10-10,"Seattle, Washington, United States",within an hour,100.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
8786233,2013-09-12,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
33524574,2015-05-16,"Seattle, Washington, United States",Unknown,,-1.0,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
50915624,2015-12-09,"Seattle, Washington, United States",within a day,80.0,100.0,True,Belltown,1.0,"['email', 'phone', 'google', 'kba']",True,t
11981534,2014-02-05,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,t
1478274,2011-12-06,"Seattle, Washington, United States",within an hour,98.0,100.0,True,Manhattan Beach,18.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,t
